Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
D64464	4	0.424923882	0.000160248	0.383740185	0.000694407	0.067143849	0	0.001228567	0.083328882	0	0	0	0.002083222	0	0	0	0.001442231	0.000106832	0	0	0.000160248	0.000480744	0.000747823	0.00395278	0.000961487	0	0	0	0	0	0	0	5.34E-05	0	0.000106832	0	0.00026708	0	0.000320496	0.000427328	0.023022274	0.000320496	0	0	0.000427328	0	0	0	0	5.34E-05	0	0	0	0	0.001014903	0	0	0	0.000160248	0	5.34E-05	D6446	PAIR_D	Mother
2578DB	0	0.922373697	0.062590217	0.001684042	0.000481155	0	0	0.000481155	0	0	0	0	0.001323176	0	0.001242983	0	0.000842021	0.000120289	0	0	0.003849238	0.000160385	0.000120289	0.000922213	0.000160385	0	0	0	0	0	0	0	0	0	4.01E-05	0	0	0	0.000160385	4.01E-05	0.000360866	0.000160385	0	4.01E-05	0	0	0	0	0	4.01E-05	0	0.000240577	4.01E-05	0	0	0	0.000160385	0	4.01E-05	4.01E-05	8.02E-05	2578D	PAIR_D	Daughter
2578D1	1	0.409848323	0.552926725	0.001174963	0.000320444	5.34E-05	0	0.000747703	0	5.34E-05	0	0	0.001602222	0	0.000747703	0	0.002082888	5.34E-05	0	0	0.013458663	0.000267037	0.001815851	0.001869259	0	0	0.000801111	0	0	0	0	0.000106815	0	0.000106815	0.000747703	0	0	0	0	0.000534074	0.000534074	0.00021363	0.000160222	0.000160222	0	0	0	0	0.000106815	0	0.000267037	0	0	0	0	0	0.000160222	0.000694296	0	0	0	2578D	PAIR_D	Daughter
2578D2	2	0.117174473	0.733767874	0.00025264	0.004143297	0	0	0	0	0	0	0	0.000101056	0	0	0	0	0.000606336	0	0	0.041230863	0	0	0.000404224	0	0	0.000707392	0	0	0	0	0	0	0	0	0	0.000202112	5.05E-05	0.000151584	0	0.002071649	0.000303168	0.034965388	0	0	0	0.000101056	0	0.000353696	0.020160679	0	5.05E-05	0	0.034763276	0	0	0	0	0	0	0	2578D	PAIR_D	Daughter
2578D3	3	0.833088362	0.027969912	0.000951063	0.000691683	0.000302611	0	0.001340135	0.00012969	0	0	0	0.004928238	0	0.004106865	0	0.00268027	0	0	0	0.112960401	0.000994294	0.000648452	0.004928238	4.32E-05	0	0	0	0	0	0	0	0	8.65E-05	0.000432302	0	0	8.65E-05	4.32E-05	0.000389071	0	0	0.00012969	0.000475532	4.32E-05	0	0	0	0	0	4.32E-05	0	0	0	4.32E-05	0	0	4.32E-05	8.65E-05	0	0	2578D	PAIR_D	Daughter
E4344B	0	0.000168549	0.004550817	0	0.000168549	0.00134839	0	0.026799258	0	0	0	0.000168549	0.00977583	0	0.000168549	0	0.008764537	0.000168549	0.019046014	0	0	0.009270184	0.007247598	0.008090342	0.016012136	0	0	0	0	0.000168549	0	0.018708916	0.726276757	0.00842744	0.000168549	0	0.033372661	0	0	0.000842744	0	0.000168549	0	0	0.000505646	0	0.000337098	0	0	0	0	0.003370976	0	0	0.077026799	0	0	0	0	0	0	E4344	PAIR_E	Mother
9385EB	0	0.000192012	0.853046595	0.013632873	0	0.108614951	0	0	0	0	0.000128008	0.000192012	0.000704045	0	0	0	0.000960061	0.000192012	0	0	0.014592934	0	0.000704045	0.000384025	0	0	6.40E-05	0	0	0	0	0	6.40E-05	0	0	0	0	0	0	0	0	0.000192012	0.000192012	0	0	0	0	0	0	0.000512033	0	0.000384025	0	0	0	0	0	0	0	0	0	9385E	PAIR_E	Daughter
F7086B	0	0	0.120864753	0.190464607	6.08E-05	0	0.172859402	0.088421309	0.049927025	0.033811725	0.071363415	0.060508392	0.005685964	0.000304062	0	0	0.00483459	0.086809779	0	0	0	0.014047677	0.002402092	0.000851374	0.000152031	0.013409146	0	0.007115057	0.021041109	0.004317684	0	0.000364875	0	0.002584529	0.010246899	0	0.003770372	0.006111652	0.000972999	0.000364875	0	0.000881781	6.08E-05	0.000182437	0.00297981	0	0	0	0.000212844	0	0.000668937	0	0	0	0	0	0	3.04E-05	0	0	0	F7086	PAIR_F	Mother
F70861	1	0.963095997	0.007589363	0.000869011	0.000695209	0.000115868	5.79E-05	0.000115868	0.000521407	0	0.000115868	5.79E-05	0.000115868	0	0	0	0.000695209	0.000173802	0	0	0.001332484	0	0	0	0	0	0	5.79E-05	0	0	0.021145936	0	0	0.000173802	0	0	0	0	0	0	0	0.000405538	0	0	0.002433231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	F7086	PAIR_F	Mother
F70862	2	0.966729798	0.003409091	0.001073232	0.00094697	0.000505051	0	0	0.000315657	0	6.31E-05	0	0.000820707	0	0	0	0.000378788	0.001073232	0	0	0.002651515	0	0	0.000126263	0	0	0	6.31E-05	0	0	0.014330808	0	0	0.000126263	0	0	0	0	0	6.31E-05	0	0.000189394	0	0	0.005997475	0	0	0	0	0	0	0	0.000252525	0	0	0	0	0	0	0	6.31E-05	F7086	PAIR_F	Mother
