Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
T4942B	0	0.987640209	0	0.000214332	3.57E-05	0	0	0	0.000107166	0	3.57E-05	0.000142888	0.000750161	0	0.000142888	3.57E-05	0.000571551	0.00017861	0	0	0	3.57E-05	0.000142888	0.000357219	0	0	0	0	0	0	0.008823319	0	0	0	0.000142888	7.14E-05	0	3.57E-05	0	0	0	0	0	0	7.14E-05	0	0	0	0.000142888	0	0	0	0	0	0	0	0	7.14E-05	0	0	0	T4942	PAIR_T	Mother
T49421	1	0.951097615	0.000126526	0.000189789	0	0	0	0.000506105	6.33E-05	0.000316316	0	0	0.002783577	0	0.000126526	0	0.000253052	0.028784716	0	0	0	0	0.000126526	0.001201999	0	0	0	0	0	0	0.010438413	0	0	0	6.33E-05	0	0	0	0.000316316	6.33E-05	0	0.002340735	0	0	0	0	6.33E-05	0	0	0.000189789	0	0.000126526	0	0	0	0	0	0.000126526	0	0	0	T4942	PAIR_T	Mother
T49422	2	0.976246723	6.47E-05	9.71E-05	0	0	0	9.71E-05	0	0	0	9.71E-05	0.000647228	0	6.47E-05	0	0.000388337	0.014789165	0	0	0	0	0.000129446	0.000355976	0.000161807	0	9.71E-05	0	0	0	0.004627682	0	0	0	0	0	6.47E-05	9.71E-05	0	3.24E-05	0	0.001456264	3.24E-05	0	9.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000129446	0	0	0	T4942	PAIR_T	Mother
T49423	3	0.988761246	8.30E-05	0.000138408	0	0	0.000276817	0	5.54E-05	2.77E-05	0	0	5.54E-05	0	0	0	0.000387543	0.000221453	0	0	0	0	2.77E-05	0.000138408	0	8.30E-05	0	0	0	0	0.00916263	0	5.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54E-05	0	0	0	0.00016609	2.77E-05	0	2.77E-05	2.77E-05	T4942	PAIR_T	Mother
6136TB	0	0.118234753	0.00036776	0.000337113	0	0.000153233	0	0	0	0	0	0	0.08694453	0	0.250566963	0	0.111707018	0.017560527	0	0	0	0.023076923	0.05424456	0.040851977	0.090131781	0	0	0	0	6.13E-05	0.000888753	0	3.06E-05	0	0.041127797	0	0.006742262	0	0.047410359	0.026448054	3.06E-05	0.006956788	0.001746859	0.006711615	0.008458474	0	0	0	0.022034937	3.06E-05	0.000520993	0	0.000214527	0	0	0	0.00027582	0.001041986	3.06E-05	6.13E-05	0.000337113	6136T	PAIR_T	Daughter
6136T1	1	0.253084135	0.002220577	0.004934616	0	0.009622502	0.001449544	0.000524303	0.00046262	0.000832717	0.000431779	0	0.172063903	0	0.13480755	0.000771034	0.080218357	0.006692573	0	0	0	0.035189983	0.027448803	0.0939736	0.042067604	9.25E-05	0	0	0	0.000555144	0.017456205	0.000154207	0.000400938	0	0.024457192	0.000154207	0.008142117	0	0.000956082	0.025012337	0	0.000709351	6.17E-05	0.011226252	0.000154207	0	0	0	0.004872934	0.000123365	0.002868246	3.08E-05	9.25E-05	3.08E-05	0	0.000185048	0.000123365	0.002374784	0	6.17E-05	0	6136T	PAIR_T	Daughter
6136T2	2	0.580177078	0.185071323	0.0703394	0.005410723	0.006640433	0.017338908	0.012174127	0.018199705	0.01758485	0.005902607	0.000122971	0.005656665	0.002828333	0.000614855	0.014756517	0.000983768	0	0	0	0.000122971	0.0038121	0.000614855	0.002582391	0.007870143	0.00122971	0	0.003197245	0.001967536	0.000983768	0.019552386	0.004672897	0	0	0	0.002090507	0.002951303	0	0	0	0	0.000860797	0	0	0	0	0	0	0	0	0	0	0.000614855	0	0	0	0	0	0	0	0	6136T	PAIR_T	Daughter
6136T3	3	0.333644163	0.088399851	0.107982096	0.000559493	0.000372995	0.015292801	0.014360313	0.021726968	0.003263708	0.023498695	0.000932488	0.016878031	0	0.005221932	0.000839239	0.013241328	0.023125699	0	0	0	0.004662439	0.007273405	0.004942186	0.006434166	0	0	0.00074599	0	0.003263708	0.033289817	9.32E-05	0.032357329	0	9.32E-05	0	0.000559493	0	0.00233122	0.002424468	0	0.004662439	0.000186498	0.00233122	0.000652742	0	0.000186498	0	0.000652742	0	0.000466244	0	0.067791869	0.000839239	0	0.045132413	0.029093622	0	0	0.023685192	0.005594927	6136T	PAIR_T	Daughter
U1240B	0	0.954075135	0.016595033	0.000198981	0	0	0	0.001313276	0.000238777	0	0	0.00063674	0.002148997	0	0.001353072	0	0.002387775	0.000198981	3.98E-05	0	0.008834766	0.000278574	0.001233684	0.00095511	3.98E-05	0	0	0	0	0	0.000159185	0.000119389	3.98E-05	0.000119389	0.000397962	0	7.96E-05	3.98E-05	0.00159185	0.000557147	0	0.00063674	3.98E-05	0.000278574	0.00031837	0	0	0	0.000835721	0	0.000198981	0	0	0	0	0	0	0.000278574	3.98E-05	0	0	U1240	PAIR_U	Mother
5005UB	0	0.005607158	0.975864843	0.000536337	9.75E-05	0	0	0.000170653	0	0	0	0	0.000536337	0	0	0	0.000658232	0.000585095	0	0	0.000146274	0.000121895	0.000146274	0.000243789	0	0	0	0	0	0	0.012872084	2.44E-05	0	0.000828884	0	0	0	0	0	0.000316926	0	0.000243789	0	4.88E-05	0.000292547	0	0	0	0	0	0	0	0	0	0	0	0	9.75E-05	2.44E-05	0	2.44E-05	5005U	PAIR_U	Daughter
